Title,Published Date,Issues,# of Signatures
Chinese police impersonating Hong Kong police officers in anti-extradition bill protest,"August 10, 2019",Same as title,"54,222"
Chinese police impersonating Hong Kong police officers in anti-extradition bill protest,"August 10, 2019",Same as title,"54,222"
"Sanction Hong Kong government for its State Terrorism activity conducted in Yuen Long train station, Hong Kong on 7/21","July 22, 2019",Same as title,"46,812"
"Sanction Hong Kong government for its State Terrorism activity conducted in Yuen Long train station, Hong Kong on 7/21","July 22, 2019",Same as title,"46,812"
Call for Official Recognition of the Chinese Communist Party as a Terrorist Organization,"August 11, 2019",Same as title,"29,806"
Call for Official Recognition of the Chinese Communist Party as a Terrorist Organization,"August 11, 2019",Same as title,"29,806"
We demand the rejection of Andy Tsang's nomination to United Nations positions,"July 28, 2019",Same as title,"22,319"
We demand the rejection of Andy Tsang's nomination to United Nations positions,"July 28, 2019",Same as title,"22,319"
Send military force to Hong Kong to save citizens from the massacre carried out by the Hong Kong Police beginning 11 Aug,"August 11, 2019",Same as title,"11,691"
Send military force to Hong Kong to save citizens from the massacre carried out by the Hong Kong Police beginning 11 Aug,"August 11, 2019",Same as title,"11,691"
Rep Jackie Speier (CA) wants to rename Lejeune High School in NC after Rep Walter B. Jones. We (Alumni) oppose this.,"July 17, 2019",Same as title,"3,825"
Rep Jackie Speier (CA) wants to rename Lejeune High School in NC after Rep Walter B. Jones. We (Alumni) oppose this.,"July 17, 2019",Same as title,"3,825"
Indian-Americans urge Donald Trump to 'fully support' India on Jammu & Kashmir.,"August 07, 2019",Same as title,"3,624"
Indian-Americans urge Donald Trump to 'fully support' India on Jammu & Kashmir.,"August 07, 2019",Same as title,"3,624"
"Give the Kashmiri people their rights and protect their freedom, property and life.","August 05, 2019",Same as title,"3,256"
"Give the Kashmiri people their rights and protect their freedom, property and life.","August 05, 2019",Same as title,"3,256"
Make Hong Kong the 51st state,"August 14, 2019",Same as title,"2,938"
Make Hong Kong the 51st state,"August 14, 2019",Same as title,"2,938"
Bring Back 2011 HR: 1364- Freedom of Speech in Science Act,"July 20, 2019",Same as title,"1,880"
Bring Back 2011 HR: 1364- Freedom of Speech in Science Act,"July 20, 2019",Same as title,"1,880"
Repeal the Hughes Amendment and allow the production of new machine guns for civilian ownership,"July 31, 2019",Same as title,"1,532"
Repeal the Hughes Amendment and allow the production of new machine guns for civilian ownership,"July 31, 2019",Same as title,"1,532"
1 in 16 Americans will be diagnosed with lung cancer & only 6% of federal research dollars used on lung cancer research,"July 20, 2019",Same as title,"1,464"
1 in 16 Americans will be diagnosed with lung cancer & only 6% of federal research dollars used on lung cancer research,"July 20, 2019",Same as title,"1,464"
Petition to allow National Park Service Rangers to volunteer for Emergency Service Agencies,"August 02, 2019",Same as title,"1,113"
Petition to allow National Park Service Rangers to volunteer for Emergency Service Agencies,"August 02, 2019",Same as title,"1,113"
"Prosecute the persons & organizations involving violence attack on 21JUL in HK are terrorism, by U.S.C. 2656f .","July 25, 2019",Same as title,847
"Prosecute the persons & organizations involving violence attack on 21JUL in HK are terrorism, by U.S.C. 2656f .","July 25, 2019",Same as title,847
Order Marines to rescue the child sex slaves under the Getty Center in LA. #10,"July 22, 2019",Same as title,804
Order Marines to rescue the child sex slaves under the Getty Center in LA. #10,"July 22, 2019",Same as title,804
Restore Hong Kong's autonomy. Make Hong Kong great again!,"July 23, 2019",Same as title,732
Restore Hong Kong's autonomy. Make Hong Kong great again!,"July 23, 2019",Same as title,732
American's Freedom of Speech is damaged by People's Republic of China from WeChat messenger in USA.,"August 11, 2019",Same as title,687
American's Freedom of Speech is damaged by People's Republic of China from WeChat messenger in USA.,"August 11, 2019",Same as title,687
President Trump: direct HHS Office of Conscience to make protecting the universal right of Informed Consent a priority.,"July 29, 2019",Same as title,596
President Trump: direct HHS Office of Conscience to make protecting the universal right of Informed Consent a priority.,"July 29, 2019",Same as title,596
"Chinese students violently treat dissidents,ask the federal government to cancel Chinese students' US visas and refuse C","July 30, 2019",Same as title,523
"Chinese students violently treat dissidents,ask the federal government to cancel Chinese students' US visas and refuse C","July 30, 2019",Same as title,523
"We The People of These United States of America Oppose Any and All Red Flag Gun Laws, Mr. President .","August 06, 2019",Same as title,514
"Prosecute the persons & organizations involving violence attack on 21JUL in HK are terrorism, by U.S.C. 2656f .","July 25, 2019",Same as title,490
"Prosecute the persons & organizations involving violence attack on 21JUL in HK are terrorism, by U.S.C. 2656f .","July 25, 2019",Same as title,490
"We the people ask the government to STOP voting frauds, Proof of Citizenships should be required for voting.","July 19, 2019",Same as title,457
"We the people ask the government to STOP voting frauds, Proof of Citizenships should be required for voting.","July 19, 2019",Same as title,457
Designate Govt of HK-Special Administrative Region as Foreign Terrorist Organizations and penalized its officials,"July 22, 2019",Same as title,388
Designate Govt of HK-Special Administrative Region as Foreign Terrorist Organizations and penalized its officials,"July 22, 2019",Same as title,388
"A Petition that Donald J. Trump, President of the United States: Pardon Julian Assange",,Same as title,377
"A Petition that Donald J. Trump, President of the United States: Pardon Julian Assange",,Same as title,377
Publicly endorse the Gavin Newsom recall campaign via Twitter,"July 31, 2019",Same as title,340
Publicly endorse the Gavin Newsom recall campaign via Twitter,"July 31, 2019",Same as title,340
"We ask for resignation or residency for the governor of Puerto Rico, Ricardo Rosselló.","July 18, 2019",Same as title,329
"We ask for resignation or residency for the governor of Puerto Rico, Ricardo Rosselló.","July 18, 2019",Same as title,329
Call on the US government to mediate the Hong Kong crisis,"August 14, 2019",Same as title,306
Call on the US government to mediate the Hong Kong crisis,"August 14, 2019",Same as title,306
"The President of the United States to defend our Iron Clad Constitutional Provisions, Rights & Liberties","August 10, 2019",Same as title,270
"The President of the United States to defend our Iron Clad Constitutional Provisions, Rights & Liberties","August 10, 2019",Same as title,270
Declare mass shootings fueled by white supremacy a national emergency.,"August 05, 2019",Same as title,262
Declare mass shootings fueled by white supremacy a national emergency.,"August 05, 2019",Same as title,262
"Ask the federal government,give a definition as ""The Hong Kong  Genocide"",Hong Kong Police Force attack people","July 27, 2019",Same as title,261
"Ask the federal government,give a definition as ""The Hong Kong  Genocide"",Hong Kong Police Force attack people","July 27, 2019",Same as title,261
Nullify all Votes that Apply to Federal Elections in any State that Allows Voting by non-US Citizens.,"July 23, 2019",Same as title,223
Nullify all Votes that Apply to Federal Elections in any State that Allows Voting by non-US Citizens.,"July 23, 2019",Same as title,223
Hillary Clinton’s Body counts is well overdue for prison sentence,"July 23, 2019",Same as title,222
Hillary Clinton’s Body counts is well overdue for prison sentence,"July 23, 2019",Same as title,222
Stand Against Red Flag Laws,"August 05, 2019",Same as title,220
Stand Against Red Flag Laws,"August 05, 2019",Same as title,220
English Ver : Trump is too talented! Please accept Freedom-Hi from Hong Kong!,"July 17, 2019",Same as title,219
English Ver : Trump is too talented! Please accept Freedom-Hi from Hong Kong!,"July 17, 2019",Same as title,219
Demand the  resignation and indictment    of  Puerto Rico Gov. Ricardo Rosselló,"July 17, 2019",Same as title,217
Demand the  resignation and indictment    of  Puerto Rico Gov. Ricardo Rosselló,"July 17, 2019",Same as title,217
"WE, the People ask the US President to propose to the Congress to amend the treaty with Bulgaria for 8 pcs F-16, bl-70","July 20, 2019",Same as title,217
"WE, the People ask the US President to propose to the Congress to amend the treaty with Bulgaria for 8 pcs F-16, bl-70","July 20, 2019",Same as title,217
"Lyme disease now a national epidemic.  Please provide funding, and resources, at the level required to resolve promptly.","July 23, 2019",Same as title,216
"Lyme disease now a national epidemic.  Please provide funding, and resources, at the level required to resolve promptly.","July 23, 2019",Same as title,216
PARDON KEVIN (KC) MASSEY WE ARE ASKING Donald J Trump Pardon Mr. Massey HE WAS UNLAWFULLY CHARGED guarding the Border!!,"July 25, 2019",Same as title,209
PARDON KEVIN (KC) MASSEY WE ARE ASKING Donald J Trump Pardon Mr. Massey HE WAS UNLAWFULLY CHARGED guarding the Border!!,"July 25, 2019",Same as title,209
"Establish the 15th day of August of every year as Ermias Asghedom Day which would also be known as ""Nipsey Hussle Day""","July 25, 2019",Same as title,199
"Establish the 15th day of August of every year as Ermias Asghedom Day which would also be known as ""Nipsey Hussle Day""","July 25, 2019",Same as title,199
中文版訴求 : Trump is too talented! Please accept Freedom-Hi from Hong Kong!特朗普太有才了!請接收來自香港的自由西吧!,"July 17, 2019",Same as title,194
Help give new moms a chance to work from home so there is never a need to choose between family and finances.,"August 04, 2019",Same as title,182
Help give new moms a chance to work from home so there is never a need to choose between family and finances.,"August 04, 2019",Same as title,182
We hope U.S. Federal Agencies can process student visa with a clear timeline and support international students.,"July 26, 2019",Same as title,172
We hope U.S. Federal Agencies can process student visa with a clear timeline and support international students.,"July 26, 2019",Same as title,172
Free Justin Olsen,"August 13, 2019",Same as title,166
Free Justin Olsen,"August 13, 2019",Same as title,166
Fire Angel Hernandez,"July 30, 2019",Same as title,154
Fire Angel Hernandez,"July 30, 2019",Same as title,154
