Title,Published Date,Issues,# of Signatures
Divest or put in a blind trust all of the President's business and financial assets,"January 20, 2017",Same as title,"366,997"
Divest or put in a blind trust all of the President's business and financial assets,"January 20, 2017",Same as title,"366,997"
Please ask New York state to overturn recent abortion expansion laws.,"January 23, 2019",Same as title,"306,718"
Please ask New York state to overturn recent abortion expansion laws.,"January 23, 2019",Same as title,"306,718"
Repeal the NFA,"January 20, 2017",Same as title,"305,166"
Repeal the NFA,"January 20, 2017",Same as title,"305,166"
Do Not Repeal Net Neutrality,"November 22, 2017",Same as title,"282,635"
Do Not Repeal Net Neutrality,"November 22, 2017",Same as title,"282,635"
Revoke the U.S. Citizenship and Visas of the Hong Kong and China Officials who are in Support of the Extradition Bill.,"June 11, 2019",Same as title,"280,954"
Revoke the U.S. Citizenship and Visas of the Hong Kong and China Officials who are in Support of the Extradition Bill.,"June 11, 2019",Same as title,"280,954"
#ChineseLivesMatters Calling a federal investigation into the United Airlines incident on 10th April 2017,"April 11, 2017",Same as title,"214,336"
#ChineseLivesMatters Calling a federal investigation into the United Airlines incident on 10th April 2017,"April 11, 2017",Same as title,"214,336"
Stop the landfill of Henoko / Oura Bay until a referendum can be held in Okinawa,"December 08, 2018",Same as title,"211,585"
Stop the landfill of Henoko / Oura Bay until a referendum can be held in Okinawa,"December 08, 2018",Same as title,"211,585"
Impeach Nancy Pelosi for crimes of Treason!,"January 18, 2019",Same as title,"201,957"
Impeach Nancy Pelosi for crimes of Treason!,"January 18, 2019",Same as title,"201,957"
"Make Junius Ho Kwan Yiu and his immediate family members ineligible for U.S. Entry, Citizenship and Visas","July 21, 2019",Same as title,"195,366"
"Make Junius Ho Kwan Yiu and his immediate family members ineligible for U.S. Entry, Citizenship and Visas","July 21, 2019",Same as title,"195,366"
Declare George Soros a terrorist and seize all of his related organizations' assets under RICO and NDAA law,"August 20, 2017",Same as title,"192,550"
Declare George Soros a terrorist and seize all of his related organizations' assets under RICO and NDAA law,"August 20, 2017",Same as title,"192,550"
Stop Qatar from yet another dubious act. How can a pro-terrorism nation mediate between United States and Iran?,"June 11, 2019",Same as title,"176,426"
Stop Qatar from yet another dubious act. How can a pro-terrorism nation mediate between United States and Iran?,"June 11, 2019",Same as title,"176,426"
"Yes to regime change in Iran, No to dialog with a pro-terrorism government","June 19, 2018",Same as title,"164,747"
"Yes to regime change in Iran, No to dialog with a pro-terrorism government","June 19, 2018",Same as title,"164,747"
Officially recognize Hong Kong Police Force (HKPF) led by Commissioner Stephen LO Wai-chung as a Terrorist Organization,"August 05, 2019",Same as title,"155,738"
Officially recognize Hong Kong Police Force (HKPF) led by Commissioner Stephen LO Wai-chung as a Terrorist Organization,"August 05, 2019",Same as title,"155,738"
"Deport Maria Gabriela Chavez, and send her back to Venezuela.","March 03, 2019",Same as title,"150,555"
"Deport Maria Gabriela Chavez, and send her back to Venezuela.","March 03, 2019",Same as title,"150,555"
Allow for Cadet Peter Wang to receive a Full Honors Military Burial,"February 16, 2018",Same as title,"145,025"
Allow for Cadet Peter Wang to receive a Full Honors Military Burial,"February 16, 2018",Same as title,"145,025"
Donald Trump:  Resign as President of the United States in Violation of the Emoluments Clause.  Release Your Tax Returns,"January 20, 2017",Same as title,"142,181"
Donald Trump:  Resign as President of the United States in Violation of the Emoluments Clause.  Release Your Tax Returns,"January 20, 2017",Same as title,"142,181"
"The removal of Rashida Tlaib (D-MI) from office, do to inappropriate and unstable actions becoming of a congresswoman.","January 04, 2019",Same as title,"138,369"
"The removal of Rashida Tlaib (D-MI) from office, do to inappropriate and unstable actions becoming of a congresswoman.","January 04, 2019",Same as title,"138,369"
Please Send Medical Army to Hong Kong. Hong Kong is under a Humanitarian Disaster.,"August 10, 2019",Same as title,"137,674"
Please Send Medical Army to Hong Kong. Hong Kong is under a Humanitarian Disaster.,"August 10, 2019",Same as title,"137,674"
"Jd.com,inc inducing consumers which leads to millions of people have been cheated for tens of billions of dollars.","June 30, 2018",Same as title,"137,216"
"Jd.com,inc inducing consumers which leads to millions of people have been cheated for tens of billions of dollars.","June 30, 2018",Same as title,"137,216"
Extradition Law Amendment in Hong Kong - Threat to Personal Safety and Freedom,"May 15, 2019",Same as title,"133,449"
